Country ,Power line length (km) 2025-07-01,Growth since 2025-01-01 (%),Growth since 2025-01-01 (km)
Chad,127,0.0%,0
Monaco,4,0.0%,0
Mali,1584,0.0%,0
Cameroon,2193,0.0%,0
Cuba,6340,0.0%,0
Cape Verde,43,0.0%,0
Mauritania,1447,0.0%,0
Malta,12,0.0%,0
Mauritius,152,0.0%,0
Haiti,153,0.0%,0
Eritrea,125,0.0%,0
Cyprus,1060,0.0%,0
Federated States of Micronesia,8,0.0%,0
Jamaica,613,0.0%,0
Liechtenstein,30,0.0%,0
Botswana,5472,0.0%,0
Central African Republic,139,0.0%,0
Panama,2125,0.0%,0
Papua New Guinea,948,0.0%,0
Qatar,1176,0.0%,0
San Marino,5,0.0%,0
Somalia,1,0.0%,0
Suriname,133,0.0%,0
Andorra,53,0.0%,0
The Gambia,160,0.0%,0
South Sudan,218,0.0%,0
São Tomé and Príncipe,6,0.0%,0
Bahrain,18,0.0%,0
Seychelles,4,0.0%,0
Sudan,6516,0.0%,0
Tonga,3,0.0%,0
Yemen,1547,0.0%,0
Portugal,17377,0.0%,-1
Ireland,6726,0.0%,-2
Oman,10175,0.0%,-4
South Korea,13746,-0.1%,-7
Belgium,5984,-0.1%,-6
Kingdom of the Netherlands,4180,-0.1%,-6
Germany,63024,-0.2%,-125
Libya,25727,-0.2%,-52
Slovakia,7178,-0.2%,-15
Switzerland,9600,-0.2%,-22
France,83672,-0.3%,-210
New Zealand,12490,-0.5%,-58
Iceland,3506,-0.6%,-20
Luxembourg,649,-0.6%,-4
Poland,48389,-0.9%,-416
Austria,11523,-1.0%,-118
United Kingdom,28646,-1.1%,-333
Latvia,11847,-4.7%,-590
Syria,18820,-6.0%,-1194
Lesotho,638,-16.8%,-129
,,,

